KG,sum_T1
agrovoc,-2.875489661
aragodbpedia,-3.476833806
bio2rdf-affymetrix,-1.787038445
bio2rdf-bioportal,-3.743438445
bio2rdf-clinicaltrials,-2.505938445
bio2rdf-ctd,-4.733038445
bio2rdf-dbsnp,-2.733038445
bio2rdf-genage,-3.420238445
bio2rdf-gendr,-3.733038445
bio2rdf-hgnc,-2.975038445
bio2rdf-interpro,-4.351038445
bio2rdf-lsr,-3.061538445
bio2rdf-ncbigene,-3.666138445
bio2rdf-omim,-4.787038445
bio2rdf-sgd,-4.733038445
bpr,-3.876125012
BVMC,-2.498550192
clld-ewave,0.09223333333
clld-wold,0.09223333333
cz-czso-average-salaries,0.02038571429
cz-czso-deaths-by-selected-causes-of-death,0.2943465839
cz-czso-demography-in-regions-czech-republic-age-categories,0.7324607143
cz-czso-job-applicants,0.007585714286
cz-czso-social-service-facilities,0.02716571429
cz-czso-unemployment-rate,0.02235630252
cz-sao-check-actions,0.7715857143
cz-sao-check-actions-law,0.9881857143
diavgeia,0.1580276486
eea-rod,1.142857143
freeyork-org,0.9886666667
grrp,0.4332181818
grrt,0.3919166667
hito,0.1982
italian-public-schools-linkedopendata-it,0.2767321429
massobservationarchivecatalogue,0.6167637931
open-data-thesaurus,0.337066145
pleiades,0.3946727273
prelinger_archives,0.01565
salzburgerland-com-de,0.4577666667
southampton-ac-uk-apps,0.8342065217
taxonconcept,0.2375421569
whisky-circle-info,0.5547666667
wordlift-io-blog-en,0.02176666667
