KG,domain,image_metadata,video_metadata,audio_metadata,image,video,audio,sum_perceive,perceivable,alt_image_score,audio_description,video_description,video_subtitle,video_sign_language,audio_subtitle,audio_sign_language,table2_sum,special_needs,accessibility_for_visually_impaired,accessibility_for_deaf,contact_person,dump_size,auth,dump_format,open_license,alternative_access_point_score,sum_operable,operable,version,robots_txt,webpage_status,metadata_broken_links,canonical_ID,robust,metadata_lang,lang,example,labels,description_readability,understandable,sum_overall,mean_overall,sum_T1,mean_T1
linked-tcga,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,-1,0,-3,-0.75,-1,0,-1,0,0,-0.4,,,0,,-0.0048274999999995405,-0.001609166667,-0.0048275,0.0625,-2,-0.125
iso-639-oasis,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,0,0,0,-0.4,,,0,,-0.00699999999999934,-0.002333333333,-0.007,0.0159875,-1.7442,-0.1090125
uk-legislation-api,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,-1,0,-0.2,,,0,,-0.008477941176470272,-0.002825980392,-0.008477941176,0.0625,0,0
cablegate,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,0,0,0,0,0,-1,0,-1,-1,0,-0.4,,,0,,-0.010399999999999632,-0.003466666667,-0.0104,-0.0625,-2,-0.125
iptc-newscodes,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,-0.1428571429,0,-0.4285714286,,,0,,-0.012066666666666448,-0.004022222222,-0.01206666667,0.01405,-1.918057143,-0.1198785714
Amer_Nejma,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-1,0,-0.2,,,0,,-0.020016666666666127,-0.006672222222,-0.02001666667,0.0159875,-0.7442,-0.0465125
bioportal-bto,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-1,0,-0.4,,,0,,-0.020016666666666127,-0.006672222222,-0.02001666667,-0.016725,-2.2676,-0.141725
bioportal-swo,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-1,0,-0.2,,,0,,-0.022619999999999973,-0.00754,-0.02262,-0.0243375,-1.3894,-0.0868375
unodc,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,-1,0,0,-1,-0.25,-1,1,0,0,0,-0.4,,,0,,-0.025774193548386393,-0.008591397849,-0.02577419355,-0.01855230978,-4.296836957,-0.2685523098
openlink-lod-cache,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.027289999999999814,-0.009096666667,-0.02729,-0.03682169118,-1.589147059,-0.09932169118
